start	end	text
0	30000	请不吝点赞 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅
30000	59980	请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
60000	89980	请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
90000	119980	请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
120000	149980	请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
150000	179980	请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
180000	209980	请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
210000	237000	I'm so excited to have the first class with you guys.
237000	239000	Hello, can you hear me clearly?
240000	242000	我可以分享一下
242000	244000	我可以分享一下
244000	246000	我可以分享一下
246000	248000	我可以分享一下
248000	250000	我可以分享一下
250000	252000	我可以分享一下
252000	254000	我可以分享一下
254000	256000	我可以分享一下
256000	258000	我可以分享一下
258000	260000	我可以分享一下
260000	262000	我可以分享一下
262000	264000	我可以分享一下
264000	266000	我可以分享一下
266000	268000	我可以分享一下
268000	269000	我可以分享一下
270000	271000	是的
272000	274000	OK, great
274000	277000	所以,各位早上,各位早上
277000	280000	所以,我们来到我们的SAP英语课程中
280000	282000	这是一课程中的一课程中
282000	285000	我给你一课程中的课程中
293000	294000	OK, so
294000	294380	It's up.
324000	327020	我们主要学的内容呢
327020	330440	就是SAP相关的一些内容
330440	332200	那今天呢
332200	333840	我们主要是讲一下子
333840	336660	就是怎么样去学好这个SAP的音语
336660	338240	那第二个呢
338240	341300	我们要会去做一下那个SAP的一个介绍
341300	344960	那还有就是我们怎么去login
344960	347120	怎么去logout
347120	349840	然后我们第一天去上班的时候
349840	351880	我们是不是要在系统里头
351880	353700	要装一个什么软件
353700	355080	我们才能去login啊
355080	357780	我看同学知道吗
357780	361120	SAP软件吗
361120	368400	SAP的那个软件
368400	369240	记得吗
369240	370840	好那没关系
370840	371740	我们等会再讲
371740	372540	然后呢
372540	375820	我们进到项目以后呢
375820	379760	我们就是要去装这个SAP的一个软件
379760	380260	对吧
380260	381220	每个人都要去装
381220	382940	然后我们有可能也要去
382940	384580	为我们用户装
384580	386520	那我们怎么去沟通
386520	388280	去帮别人装软件也好
388280	390740	或者你请公司的IT
390740	391840	给你装软件也好
391840	393200	我们要学怎么去沟通
393200	394300	然后我们怎么去
394300	396500	给用户做一个基本的培训
396500	397740	怎么去上系统
